"Region","Age","Vaccination coverage"
"Piedmont","<5","2.2"
"Aosta Valley","<5","1.5"
"Lombardy","<5",NA
"AP Bolzano","<5","1.9"
"AP Trento","<5","2.2"
"Veneto","<5","0.4"
"Friuli-Venezia Giulia","<5",NA
"Liguria","<5","4.1"
"Emilia-Romagna","<5","4.4"
"Tuscany","<5","6.2"
"Umbria","<5","2.7"
"Marche","<5","3.6"
"Lazio","<5","1.9"
"Abruzzo","<5","6"
"Molise","<5","7.7"
"Campania","<5","7.4"
"Apulia","<5","7.7"
"Basilicata","<5","1.2"
"Calabria","<5","3.2"
"Sicily","<5","4.3"
"Sardinia","<5","6.6"
"Italy","<5","4"
"Piedmont","5_14","1.8"
"Aosta Valley","5_14","1.2"
"Lombardy","5_14",NA
"AP Bolzano","5_14","1.2"
"AP Trento","5_14","1.6"
"Veneto","5_14","0.4"
"Friuli-Venezia Giulia","5_14",NA
"Liguria","5_14","3.1"
"Emilia-Romagna","5_14","3.9"
"Tuscany","5_14","5"
"Umbria","5_14","1.8"
"Marche","5_14","3.1"
"Lazio","5_14","2"
"Abruzzo","5_14","4.4"
"Molise","5_14","6.1"
"Campania","5_14","5.4"
"Apulia","5_14","6.1"
"Basilicata","5_14","1.7"
"Calabria","5_14","2.9"
"Sicily","5_14","3.8"
"Sardinia","5_14","4"
"Italy","5_14","3.1"
"Piedmont","15_24","2.5"
"Aosta Valley","15_24","3.9"
"Lombardy","15_24",NA
"AP Bolzano","15_24","1.4"
"AP Trento","15_24","0.9"
"Veneto","15_24","6.3"
"Friuli-Venezia Giulia","15_24",NA
"Liguria","15_24","3"
"Emilia-Romagna","15_24","3.8"
"Tuscany","15_24","6"
"Umbria","15_24","1.6"
"Marche","15_24","4.6"
"Lazio","15_24","1.9"
"Abruzzo","15_24","3.2"
"Molise","15_24","7.4"
"Campania","15_24","4.7"
"Apulia","15_24","3.6"
"Basilicata","15_24","2.3"
"Calabria","15_24","2.8"
"Sicily","15_24","4.2"
"Sardinia","15_24","2.9"
"Italy","15_24","3.5"
"Piedmont","25_64","5.3"
"Aosta Valley","25_64","4.5"
"Lombardy","25_64",NA
"AP Bolzano","25_64","4.4"
"AP Trento","25_64","0.2"
"Veneto","25_64","6.3"
"Friuli-Venezia Giulia","25_64",NA
"Liguria","25_64","9.3"
"Emilia-Romagna","25_64","9.1"
"Tuscany","25_64","7.4"
"Umbria","25_64","7.1"
"Marche","25_64","7.2"
"Lazio","25_64","8.1"
"Abruzzo","25_64","6.5"
"Molise","25_64","9.8"
"Campania","25_64","8.9"
"Apulia","25_64","7.4"
"Basilicata","25_64","8.4"
"Calabria","25_64","6.3"
"Sicily","25_64","8"
"Sardinia","25_64","6.2"
"Italy","25_64","6.9"
"Piedmont",">= 65","55.7"
"Aosta Valley",">= 65","55.3"
"Lombardy",">= 65","60.9"
"AP Bolzano",">= 65","51.1"
"AP Trento",">= 65","57.8"
"Veneto",">= 65","70.9"
"Friuli-Venezia Giulia",">= 65","72.4"
"Liguria",">= 65","62.5"
"Emilia-Romagna",">= 65","70.3"
"Tuscany",">= 65","61.5"
"Umbria",">= 65","62.2"
"Marche",">= 65","67.1"
"Lazio",">= 65","69.5"
"Abruzzo",">= 65","67.9"
"Molise",">= 65","73.7"
"Campania",">= 65","72.3"
"Apulia",">= 65","68.4"
"Basilicata",">= 65","69.9"
"Calabria",">= 65","55.1"
"Sicily",">= 65","63.8"
"Sardinia",">= 65","43.9"
"Italy",">= 65","63.4"
"Piedmont","Total","15.5"
"Aosta Valley","Total","13.9"
"Lombardy","Total","14.7"
"AP Bolzano","Total","10.9"
"AP Trento","Total",NA
"Veneto","Total","17.4"
"Friuli-Venezia Giulia","Total","23.6"
"Liguria","Total","22"
"Emilia-Romagna","Total","21.8"
"Tuscany","Total","19.4"
"Umbria","Total","18.6"
"Marche","Total","19.6"
"Lazio","Total","17.9"
"Abruzzo","Total","18.7"
"Molise","Total","22.7"
"Campania","Total","17"
"Apulia","Total","16.7"
"Basilicata","Total","18.3"
"Calabria","Total","13.8"
"Sicily","Total","16.4"
"Sardinia","Total","11.8"
"Italy","Total","17.5"
